image src,product_name,price
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-rebel-t8i-18-55-kitv2_4_l.png,EOS Rebel T8i EF-S 18-55mm f/4-5.6 IS STM Kit,899.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eos-rebel-t8i-body_1_l.png,EOS Rebel T8i Body,749.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eosra_1_l.png,EOS Ra Body,2499
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/47350_1_l.png,EOS M200 Content Creator Kit,649.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS1DXIII_675x450_hero_1_l.png,EOS-1D X Mark III,6499
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/47349_1_l.png,EOS 90D Video Creator Kit,1449
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-80D-Video-Creator-Kit_1_l.jpg,EOS 80D Video Creator Kit,1949
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-M200-hero-award_1_l.png,EOS M200 EF-M 15-45mm f/3.5-6.3 IS STM Kit Black,549.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-90D-18-135_1_l.jpg,EOS 90D EF-S 18-135mm f/3.5-5.6 IS USM Kit,1599
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-90D-18-55_1_l.jpg,EOS 90D EF-S 18-55mm f/3.5-5.6 IS STM Kit,1349
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-90D-Body_1_l.jpg,EOS 90D Body,1199
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/EOS-M6-Mark-II-award_1_l.png,EOS M6 Mark II + EF-M 15-45mm f/3.5-6.3 IS STM + EVF Kit Black,1099
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/3611C021_3_l.jpg,EOS M6 Mark II + EF-M 18-150mm f/3.5-6.3 IS STM + EVF Kit Black,1349
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/3611C001_1_l.jpg,EOS M6 Mark II Body Black,849.99
https://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/eosrp-24-240_1_l.jpg,EOS RP RF 24-240mm F4-6.3 IS USM Kit,2199
