item_slider href,product_image src,product_image src 2,p_sale,p_old_price,p_sale 2,p_name,product_color src,product_color src 2,txl,inline href,ReviewRating
https://www.forever21.com/ca/shop/catalog/product/f21/bottoms/2000323054,https://www.forever21.com/images/default_330/00323054-08.jpg,https://www.forever21.com/images/default_330/00323054-08.jpg,$29.90 ,33.9,12% OFF,Raw-Cut Denim Mini Skirt,https://www.forever21.com/images/sw_22/00323054-08.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000353350,https://www.forever21.com/images/5_detail_330/00353350-05.jpg,https://www.forever21.com/images/default_330/00353350-05.jpg,$12.00 ,17.90,33% OFF,Strappy Floral Tiered Cami,https://www.forever21.com/images/sw_22/00353350-05.jpg,https://www.forever21.com/images/sw_22/00353350-06.jpg,3 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000353350,-1
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000351368,https://www.forever21.com/images/5_detail_330/00351368-04.jpg,https://www.forever21.com/images/default_330/00351368-04.jpg,$12.00 ,17.90,33% OFF,Daisy Print Cropped Halter Top,https://www.forever21.com/images/sw_22/00351368-04.jpg,https://www.forever21.com/images/sw_22/00351368-05.jpg,3 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000351368,-1
https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000108622,https://www.forever21.com/images/4_full_330/00108622-02.jpg,https://www.forever21.com/images/default_330/00108622-02.jpg,$20.00 ,21.90,9% OFF,Raw-Cut Denim Skirt,https://www.forever21.com/images/sw_22/00108622-02.jpg,https://www.forever21.com/images/sw_22/00108622-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000108622,-1
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000194618,https://www.forever21.com/images/4_full_330/00194618-04.jpg,https://www.forever21.com/images/default_330/00194618-04.jpg,$9.90 ,10.90,10% OFF,Contemporary Stretch-Knit Tee,https://www.forever21.com/images/sw_22/00194618-04.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000296613,https://www.forever21.com/images/default_330/00296613-04.jpg,https://www.forever21.com/images/default_330/00296613-04.jpg,$19.90 ,22.90,14% OFF,Tropical Print Crop Top,https://www.forever21.com/images/sw_22/00296613-04.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000296613,-8
https://www.forever21.com/ca/shop/catalog/product/f21/sale_women/2000340904,https://www.forever21.com/images/5_detail_330/00340904-02.jpg,https://www.forever21.com/images/default_330/00340904-02.jpg,$16.99 ,24.90,32% OFF,Leopard Print Zip-Front Denim Skirt,https://www.forever21.com/images/sw_22/00340904-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/sale_women/2000340904,-2
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332919,https://www.forever21.com/images/4_full_330/00332919-03.jpg,https://www.forever21.com/images/default_330/00332919-03.jpg,$12.99 ,19.90,35% OFF,V-Neck Lace Top,https://www.forever21.com/images/sw_22/00332919-03.jpg,https://www.forever21.com/images/sw_22/00332919-05.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000335601,https://www.forever21.com/images/4_full_330/00335601-05.jpg,https://www.forever21.com/images/default_330/00335601-05.jpg,$11.99 ,17.90,34% OFF,Striped Scoop Neck Tank Dress,https://www.forever21.com/images/sw_22/00335601-05.jpg,https://www.forever21.com/images/sw_22/00335601-04.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000335601,-9
https://www.forever21.com/ca/shop/catalog/product/f21/sale_women/2000338674,https://www.forever21.com/images/5_detail_330/00338674-06.jpg,https://www.forever21.com/images/default_330/00338674-06.jpg,$10.99 ,15.90,31% OFF,French Terry Lounge Shorts,https://www.forever21.com/images/sw_22/00338674-06.jpg,https://www.forever21.com/images/sw_22/00338674-04.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/sale_women/2000338674,-2
